Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AXISBANK,EQ,04-May-15,567.8,571.4,576,562.8,568,568.35,568.99,4309985,2452330897,59094,1192217,27.66
AXISBANK,EQ,05-May-15,568.35,569,574.25,562.5,564.6,565.85,567.85,5385676,3058267391,75860,1941640,36.05
AXISBANK,EQ,06-May-15,565.85,564.05,565.9,541.2,543,543.3,548.71,7698992,4224541385,103212,3400999,44.17
AXISBANK,EQ,07-May-15,543.3,539.65,544.8,523.3,526.1,527.35,534.35,5848608,3125225900,89094,1806208,30.88
AXISBANK,EQ,08-May-15,527.35,535.75,548,533.5,539.8,540.8,539.81,10010992,5404047309,105258,5957763,59.51
AXISBANK,EQ,11-May-15,540.8,545.5,552,543.1,550.4,551.1,549.41,6700085,3681101505,74400,3697172,55.18
AXISBANK,EQ,12-May-15,551.1,553,553.9,529.9,531.1,532.35,538.28,4943428,2660951437,98418,1956475,39.58
AXISBANK,EQ,13-May-15,532.35,538,564.2,535.2,558.85,558.5,551.22,7971625,4394079978,115085,1733116,21.74
AXISBANK,EQ,14-May-15,558.5,557.4,558.8,547.5,555.3,555.85,554.85,4929250,2735004889,80570,1380399,28
AXISBANK,EQ,15-May-15,555.85,558.5,567.3,557,561.6,562.05,563.66,5825462,3283555691,88239,2462755,42.28
AXISBANK,EQ,18-May-15,562.05,563.3,569.85,558.65,568,567.5,564.16,3944770,2225496637,69623,1540148,39.04
AXISBANK,EQ,19-May-15,567.5,566,570.9,558.6,560.45,561.45,565.63,6047850,3420826303,86873,2663489,44.04
AXISBANK,EQ,20-May-15,561.45,562.75,566.85,556.5,558.3,558.25,561.5,4763209,2674519920,71413,2194683,46.08
AXISBANK,EQ,21-May-15,558.25,560,572,560,569.55,570.45,566.83,6157883,3490466704,71124,2257268,36.66
AXISBANK,EQ,22-May-15,570.45,571.3,576.65,563.75,567,568.65,573.14,4265332,2444648159,62622,1726996,40.49
AXISBANK,EQ,25-May-15,568.65,568.1,569.75,560.2,561.95,562.1,565.32,3426379,1937016231,41913,1647699,48.09
AXISBANK,EQ,26-May-15,562.1,563,566.8,558.2,566,564.25,563.33,2475418,1394489397,37898,806196,32.57
AXISBANK,EQ,27-May-15,564.25,562,579.5,561.25,577.1,577.8,574.18,4120709,2366026256,75404,1256307,30.49
AXISBANK,EQ,28-May-15,577.8,578.95,585.8,570.4,576.4,574.65,576.83,8272414,4771749260,80535,3954488,47.8
AXISBANK,EQ,29-May-15,574.65,575.5,587.3,574.7,585.3,585.4,581.8,3421723,1990751684,50575,1195016,34.92
AXISBANK,EQ,01-Jun-15,585.4,586.9,588.9,577.1,578.6,578.45,582,3142413,1828881775,41157,1351235,43
AXISBANK,EQ,02-Jun-15,578.45,582,582.4,548.4,552.75,553.1,565.24,6978299,3944431672,92403,2676307,38.35
AXISBANK,EQ,03-Jun-15,553.1,553.25,554,538.55,552.1,550.9,545.61,5114150,2790319461,67059,1863318,36.43
AXISBANK,EQ,04-Jun-15,550.9,560,560,546,556.25,556.4,554.98,7432416,4124816098,129896,3789817,50.99
AXISBANK,EQ,05-Jun-15,556.4,556,557.25,546.05,546.6,548.4,552.15,7028734,3880903565,117244,4167263,59.29
AXISBANK,EQ,08-Jun-15,548.4,547,557.5,544,552.75,553.6,552.19,6286247,3471196471,104460,3521694,56.02
AXISBANK,EQ,09-Jun-15,553.6,552.05,564,550.45,557.1,558.7,559.08,5252618,2936628787,213532,2597664,49.45
AXISBANK,EQ,10-Jun-15,558.7,558.9,567.7,558.85,564.5,564.5,563.93,7919473,4466008457,71550,5153387,65.07
AXISBANK,EQ,11-Jun-15,564.5,567.9,570.2,545.05,546,546.75,556.63,7608358,4235014503,98644,4618983,60.71
AXISBANK,EQ,12-Jun-15,546.75,547,552.5,540.8,551.9,551.45,547.37,5518696,3020758175,117105,2725659,49.39
AXISBANK,EQ,15-Jun-15,551.45,553.9,555,545.35,550,550.05,549.75,5896234,3241460924,100677,3425989,58.1
