Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INDUSINDBK,EQ,04-May-15,823.8,828,849.5,827.2,841.3,841.7,841.5,868300,730673041.2,17620,242234,27.9
INDUSINDBK,EQ,05-May-15,841.7,839.85,845.95,831.6,835.6,836.55,840.22,672307,564883953.7,16669,234319,34.85
INDUSINDBK,EQ,06-May-15,836.55,837,839,799,800.25,802.95,813.96,985312,802007375.1,21748,463561,47.05
INDUSINDBK,EQ,07-May-15,802.95,796.7,800,786,789.4,795.2,793.3,1753181,1390801283,53622,973453,55.52
INDUSINDBK,EQ,08-May-15,795.2,803.05,815.7,800,809,810.45,809.85,1407570,1139924486,33376,633225,44.99
INDUSINDBK,EQ,11-May-15,810.45,816.4,823,806,818.9,819.65,816.5,1423467,1162258327,19977,884071,62.11
INDUSINDBK,EQ,12-May-15,819.65,822.9,822.9,794.2,801.1,800.25,799.85,1358401,1086513350,32229,683939,50.35
INDUSINDBK,EQ,13-May-15,800.25,805.1,819.4,795.15,817,817.2,811.04,1074443,871413458.5,23818,382903,35.64
INDUSINDBK,EQ,14-May-15,817.2,817.2,820,800.3,816,816.65,812.39,680132,552534362.5,13240,257148,37.81
INDUSINDBK,EQ,15-May-15,816.65,819.95,841.3,818,830.65,833.35,834.16,1234559,1029821399,30456,446124,36.14
INDUSINDBK,EQ,18-May-15,833.35,829.75,852.3,827.55,849.5,846.35,844.9,995778,841328133.6,21765,463998,46.6
INDUSINDBK,EQ,19-May-15,846.35,846,858.7,842.2,843.1,845.7,851,816702,695014645.2,19535,347099,42.5
INDUSINDBK,EQ,20-May-15,845.7,848.95,856,847.25,852,851.55,852.53,750251,639609612.5,13438,372374,49.63
INDUSINDBK,EQ,21-May-15,851.55,855.8,855.8,838.05,849.1,848.2,845.4,503688,425819484.6,10380,136943,27.19
INDUSINDBK,EQ,22-May-15,848.2,850.7,861.65,848.25,852,852.6,855.42,760999,650972596,17357,308906,40.59
INDUSINDBK,EQ,25-May-15,852.6,851.8,862.75,846.95,850.3,854.1,855.49,516256,441653769.9,15700,218692,42.36
INDUSINDBK,EQ,26-May-15,854.1,853,859.8,841.3,856.75,852.95,850.75,552759,470258727.5,17158,249785,45.19
INDUSINDBK,EQ,27-May-15,852.95,848.95,865,844.6,864.5,860.3,856.17,307557,263319626.6,9906,90073,29.29
INDUSINDBK,EQ,28-May-15,860.3,863.9,869.1,850.1,853,855.3,857.21,1570880,1346566434,17141,1043858,66.45
INDUSINDBK,EQ,29-May-15,855.3,854.9,880,853.15,873.15,873.95,871.7,739227,644386746.7,16421,331226,44.81
INDUSINDBK,EQ,01-Jun-15,873.95,870,885,870,881.6,882.95,880.06,641892,564901407.8,17674,305392,47.58
INDUSINDBK,EQ,02-Jun-15,882.95,883,884.05,842.5,844.85,847.15,859.74,885470,761276895.1,24600,326231,36.84
INDUSINDBK,EQ,03-Jun-15,847.15,845,850.9,834,848.65,842.6,840.82,505601,425119448,11076,150039,29.68
INDUSINDBK,EQ,04-Jun-15,842.6,847.8,852.75,837.25,848,846.65,845.4,454498,384230988.6,11464,109693,24.13
INDUSINDBK,EQ,05-Jun-15,846.65,840,847.8,830,830.25,834.45,837.13,979963,820353091.1,18142,582868,59.48
INDUSINDBK,EQ,08-Jun-15,834.45,828,828.4,809,812,811.7,815.51,1318893,1075569871,31340,838527,63.58
INDUSINDBK,EQ,09-Jun-15,811.7,807.8,818.4,790,809.8,809.2,812.39,1076855,874827268.8,27658,524216,48.68
INDUSINDBK,EQ,10-Jun-15,809.2,811,830.7,811,819,819.6,825.1,997303,822872631.9,20720,488140,48.95
INDUSINDBK,EQ,11-Jun-15,819.6,825,826,793,796,795.1,808.88,1251145,1012025182,22718,552203,44.14
INDUSINDBK,EQ,12-Jun-15,795.1,790,814,784,810.9,810.8,798.61,1006880,804103009.2,32526,382415,37.98
INDUSINDBK,EQ,15-Jun-15,810.8,810,810,792.45,793.35,794.55,799.49,626249,500678821.1,15810,232877,37.19
INDUSINDBK,EQ,16-Jun-15,794.55,795.05,825.25,787,823.75,821.55,807,854175,689321562.2,19375,240028,28.1
INDUSINDBK,EQ,17-Jun-15,821.55,827,828,811.5,819,818.2,819.32,1319469,1081068395,22187,553299,41.93
INDUSINDBK,EQ,18-Jun-15,818.2,820,831,812.95,827.1,825.55,824.73,721061,594683891.5,15465,232196,32.2
INDUSINDBK,EQ,19-Jun-15,825.55,826.5,837.3,823.75,833.75,834.7,831.8,497932,414177413.7,14886,133757,26.86
INDUSINDBK,EQ,22-Jun-15,834.7,833.8,865.5,832.95,838.5,839.25,849.57,1357595,1153371663,35314,656324,48.34
INDUSINDBK,EQ,23-Jun-15,839.25,842.7,847.5,829.2,833.6,833.6,840.61,1202887,1011160967,25541,674701,56.09
INDUSINDBK,EQ,24-Jun-15,833.6,834.25,854.5,834.25,842.2,844.5,846.51,905000,766091308.2,18827,401974,44.42
INDUSINDBK,EQ,25-Jun-15,844.5,844.5,885.45,841.75,868.4,867.15,862.22,1929219,1663417457,29257,1103986,57.22
INDUSINDBK,EQ,26-Jun-15,867.15,864.4,884.7,851,883,869.4,862.5,1457184,1256820514,25818,370056,25.4
INDUSINDBK,EQ,29-Jun-15,869.4,859.5,864,841.1,857.9,859.6,852.65,696937,594243975.7,16428,146019,20.95
INDUSINDBK,EQ,30-Jun-15,859.6,860.95,874.8,855,871.8,872.7,863.49,738228,637455928.1,18662,223124,30.22
INDUSINDBK,EQ,01-Jul-15,872.7,872.6,886,862,875.1,875.55,876.71,832607,729956280.7,19229,250153,30.04
INDUSINDBK,EQ,02-Jul-15,875.55,883.4,883.4,868,870.5,869.75,874.28,688412,601866448.6,14338,240864,34.99
INDUSINDBK,EQ,03-Jul-15,869.75,858,900.55,858,894.1,893.5,880.59,1092421,961978844.2,21313,426140,39.01
INDUSINDBK,EQ,06-Jul-15,893.5,883.8,901.25,877,897.45,899.3,889.1,940588,836277873.2,22326,262816,27.94
INDUSINDBK,EQ,07-Jul-15,899.3,896,912,895,895.1,898.95,904.14,698569,631605546.3,16465,229013,32.78
INDUSINDBK,EQ,08-Jul-15,898.95,881.95,896,873.9,889.1,892.4,887.15,719187,638025722.6,18590,141540,19.68
INDUSINDBK,EQ,09-Jul-15,892.4,891.85,897.4,875.25,896.95,893,885.12,1043039,923216687.8,20272,306489,29.38
INDUSINDBK,EQ,10-Jul-15,893,897.9,904,887,893.2,894.95,894.77,528685,473053639.6,13723,171274,32.4
INDUSINDBK,EQ,13-Jul-15,894.95,904.2,927.7,895.05,926.95,923.95,911.64,3460092,3154358775,76868,609838,17.62
INDUSINDBK,EQ,14-Jul-15,923.95,933,933.8,919.35,921,924.05,926.09,1362690,1261977844,29831,421175,30.91
INDUSINDBK,EQ,15-Jul-15,924.05,921.35,932,918,927.15,927.15,926.87,728864,675558979.6,16353,204792,28.1
INDUSINDBK,EQ,16-Jul-15,927.15,930,937.2,924,933,932.3,929.93,1581760,1470920506,18467,927299,58.62
INDUSINDBK,EQ,17-Jul-15,932.3,933.3,938.75,925.1,936.55,935.85,932.3,941362,877633628.1,16687,429688,45.65
INDUSINDBK,EQ,20-Jul-15,935.85,936,950,930.4,947.35,947.45,938.67,757943,711460117.8,13918,321799,42.46
INDUSINDBK,EQ,21-Jul-15,947.45,947,951.25,932.8,939.3,938.35,942.52,378818,357043439.3,9535,101800,26.87
